metricName,sessionsCount,sessionsWithMetricPercentage,sessionsWithoutMetricPercentage,pagesViews,subTotal,averageScrollDepth,totalSessionCount,totalBotSessionCount,distinctUserCount,pagesPerSessionPercentage,totalTime,activeTime,name,url,visitsCount
DeadClickCount,8,25,75,2,9,,,,,,,,,,
ExcessiveScroll,8,0,100,0,0,,,,,,,,,,
RageClickCount,8,0,100,0,0,,,,,,,,,,
QuickbackClick,8,0,100,0,0,,,,,,,,,,
ScriptErrorCount,8,0,100,0,0,,,,,,,,,,
ErrorClickCount,8,0,100,0,0,,,,,,,,,,
ScrollDepth,,,,,,87.3,,,,,,,,,
Traffic,,,,,,,8,5,5,1.4666666666666666,,,,,
EngagementTime,,,,,,,,,,,450,224,,,
Browser,6,,,,,,,,,,,,Chrome,,
Browser,1,,,,,,,,,,,,MobileSafari,,
Browser,1,,,,,,,,,,,,Safari,,
Device,7,,,,,,,,,,,,PC,,
Device,1,,,,,,,,,,,,Mobile,,
OS,7,,,,,,,,,,,,MacOSX,,
OS,1,,,,,,,,,,,,IOS,,
Country,5,,,,,,,,,,,,Japan,,
Country,2,,,,,,,,,,,,Singapore,,
Country,1,,,,,,,,,,,,China,,
PageTitle,8,,,,,,,,,,,,PDF压缩神器 - 想多大就多大 | 免费在线PDF压缩工具,,
ReferrerUrl,7,,,,,,,,,,,,,,
ReferrerUrl,1,,,,,,,,,,,,https://weixin110.qq.com/,,
PopularPages,,,,,,,,,,,,,,https://zijinmengli-svg.github.io/pdf-compress-web/,13
