metricName,sessionsCount,sessionsWithMetricPercentage,sessionsWithoutMetricPercentage,pagesViews,subTotal,Browser,averageScrollDepth,totalSessionCount,totalBotSessionCount,distinctUserCount,pagesPerSessionPercentage,totalTime,activeTime
DeadClickCount,6,33.33,66.67,2,9,Chrome,,,,,,,
DeadClickCount,1,0,100,0,0,MobileSafari,,,,,,,
DeadClickCount,1,0,100,0,0,Safari,,,,,,,
ExcessiveScroll,6,0,100,0,0,Chrome,,,,,,,
ExcessiveScroll,1,0,100,0,0,MobileSafari,,,,,,,
ExcessiveScroll,1,0,100,0,0,Safari,,,,,,,
RageClickCount,6,0,100,0,0,Chrome,,,,,,,
RageClickCount,1,0,100,0,0,MobileSafari,,,,,,,
RageClickCount,1,0,100,0,0,Safari,,,,,,,
QuickbackClick,6,0,100,0,0,Chrome,,,,,,,
QuickbackClick,1,0,100,0,0,MobileSafari,,,,,,,
QuickbackClick,1,0,100,0,0,Safari,,,,,,,
ScriptErrorCount,6,0,100,0,0,Chrome,,,,,,,
ScriptErrorCount,1,0,100,0,0,MobileSafari,,,,,,,
ScriptErrorCount,1,0,100,0,0,Safari,,,,,,,
ErrorClickCount,6,0,100,0,0,Chrome,,,,,,,
ErrorClickCount,1,0,100,0,0,MobileSafari,,,,,,,
ErrorClickCount,1,0,100,0,0,Safari,,,,,,,
ScrollDepth,,,,,,Chrome,89.57,,,,,,
ScrollDepth,,,,,,MobileSafari,86,,,,,,
ScrollDepth,,,,,,Safari,74,,,,,,
Traffic,,,,,,Other,,0,0,1,1,,
Traffic,,,,,,Chrome,,6,2,1,1.625,,
Traffic,,,,,,HeadlessChrome,,0,2,2,1,,
Traffic,,,,,,MobileSafari,,1,0,1,2,,
Traffic,,,,,,Safari,,1,1,1,1,,
EngagementTime,,,,,,Chrome,,,,,,599,297
EngagementTime,,,,,,MobileSafari,,,,,,8,8
EngagementTime,,,,,,Safari,,,,,,1,1
